source_type,source_dataset,dataset_version,pre_body_id,pre_instance,pre_cell_type,post_body_id,post_instance,post_cell_type,synapse_count,reference,verification_status,notes
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,22847,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,67,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,16128,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,65,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,24338,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,63,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,17668,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,63,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,20399,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,62,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,22966,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,61,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,22194,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,59,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,22975,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,58,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,30803,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,57,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,18127,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,57,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,23929,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,56,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,23392,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,56,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,19634,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,56,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,21336,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,55,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,26112,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,53,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,16628,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,53,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,23792,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,52,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,21225,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,52,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,16138,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,52,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,17860,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,50,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,19543,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,49,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,21804,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,48,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,17926,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,48,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,17364,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,48,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,527408,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,47,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,22328,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,47,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,20542,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,47,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,17266,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,47,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,20016,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,46,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,18189,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,46,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,30480,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,45,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,19420,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,45,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,20673,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,44,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,19794,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,44,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,21287,LC4_R,LC4,10001,DNp01(GF)_R,DNp01,43,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
